股票代碼,股票名稱,strategy,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,win_rate,total_trades
2881.TW,富邦金,RSI,54.56931570528458,4.617591438590218,12.56733241032561,0.3674281293615102,-30.66534608838808,54.69255663430421,9
2881.TW,富邦金,MACD,140.49570459288634,9.523164458738687,14.202153312140558,0.6705437020312907,-27.669039035549382,53.41328413284133,88
2881.TW,富邦金,MA_CROSS,159.1812977529628,10.375983802766742,16.08196777240559,0.645193669680801,-27.043541715398415,51.44766146993318,80
2881.TW,富邦金,BOLLINGER,85.26647335541482,6.600710592580983,13.994340603646396,0.4716699971459239,-30.56940758877874,55.62579013906448,25
2881.TW,富邦金,STOCHASTIC,61.30075545014129,5.080905450807727,12.197033084791705,0.4165689652136002,-25.01921444993598,55.23952095808383,26
