策略,平均總報酬率 (%),平均夏普比率,平均最大回撤 (%),平均勝率 (%)
RSI,96.11,0.37,-35.19,52.47
MACD,165.62,0.54,-27.50,51.77
MA_CROSS,288.26,0.69,-26.87,51.84
BOLLINGER,71.88,0.34,-32.36,52.59
STOCHASTIC,26.32,0.16,-33.30,51.69
