股票代碼,股票名稱,策略,總報酬率 (%),年化報酬率 (%),波動率 (%),夏普比率,最大回撤 (%),勝率 (%),交易次數
2884.TW,玉山金,MA_CROSS,313.28,15.85,11.59,1.37,-11.74,54.09,67
0050.TW,元大台灣50,MACD,288.62,15.1,11.27,1.34,-23.31,54.37,94
0050.TW,元大台灣50,MACD_MA,181.98,11.34,9.1,1.25,-16.93,53.4,74
2892.TW,第一金,MA_CROSS,187.95,11.59,9.95,1.16,-12.2,55.75,62
2884.TW,玉山金,MACD,190.38,11.68,10.32,1.13,-13.9,53.82,94
2330.TW,台積電,MACD,464.62,19.65,17.74,1.11,-25.49,54.15,95
0050.TW,元大台灣50,MA_CROSS,254.87,14.02,12.74,1.1,-18.49,53.78,71
2330.TW,台積電,MA_CROSS,476.31,19.91,19.4,1.03,-23.35,52.68,73
2891.TW,中信金,MA_CROSS,264.23,14.34,14.03,1.02,-13.89,54.66,67
2330.TW,台積電,MACD_MA,265.68,14.39,14.65,0.98,-19.87,54.34,78
2382.TW,廣達,MACD,474.88,19.88,21.31,0.93,-33.22,52.67,86
2884.TW,玉山金,RSI,184.84,11.46,12.57,0.91,-24.53,53.71,13
2454.TW,聯發科,MA_CROSS,704.18,24.12,26.95,0.89,-34.43,50.08,73
2379.TW,瑞昱,MACD,524.31,20.91,23.75,0.88,-24.03,51.96,93
2891.TW,中信金,MACD,161.78,10.49,12.74,0.82,-12.23,53.93,96
2382.TW,廣達,MACD_MA,266.75,14.42,17.69,0.82,-33.01,51.36,64
2317.TW,鴻海,MACD_MA,197.68,11.97,15.23,0.79,-18.49,52.23,62
2317.TW,鴻海,MA_CROSS,290.27,15.16,19.42,0.78,-28.21,52.15,65
2884.TW,玉山金,MACD_MA,87.25,6.72,8.72,0.77,-13.9,53.66,82
2891.TW,中信金,BOLLINGER,148.61,9.9,12.79,0.77,-25.92,55.98,25
2454.TW,聯發科,RSI_STOCHASTIC,89.71,6.86,9.02,0.76,-11.71,58.82,6
2891.TW,中信金,STOCHASTIC,112.34,8.12,10.64,0.76,-18.2,55.78,29
2886.TW,兆豐金,MACD,99.7,7.43,10.08,0.74,-15.12,52.54,103
1216.TW,統一,BOLLINGER,140.93,9.54,13.06,0.73,-17.58,53.56,28
2382.TW,廣達,MA_CROSS,354.51,16.99,23.29,0.73,-33.75,51.76,77
2892.TW,第一金,RSI,81.65,6.38,8.85,0.72,-23.84,55.53,7
2892.TW,第一金,MACD,79.59,6.26,8.77,0.71,-9.82,54.89,101
2379.TW,瑞昱,MA_CROSS,387.97,17.86,25.29,0.71,-39.6,52.1,68
2382.TW,廣達,RSI,194.53,11.85,16.66,0.71,-33.89,54.79,10
0050.TW,元大台灣50,BOLLINGER,136.17,9.31,13.33,0.7,-26.25,54.99,25
2892.TW,第一金,BOLLINGER,97.76,7.32,10.6,0.69,-26.75,56.04,25
2882.TW,國泰金,MA_CROSS,171.34,10.9,16.03,0.68,-32.92,51.4,82
2454.TW,聯發科,RSI,274.2,14.66,21.79,0.67,-38.96,52.72,10
2881.TW,富邦金,MACD,140.5,9.52,14.2,0.67,-27.67,53.41,88
2330.TW,台積電,MACD_MA_CROSS,53.75,4.56,6.97,0.65,-8.65,57.33,12
2881.TW,富邦金,MA_CROSS,161.63,10.48,16.09,0.65,-27.04,51.45,80
1216.TW,統一,MA_BOLLINGER,29.59,2.72,4.22,0.65,-5.97,62.12,69
2454.TW,聯發科,RSI_BOLLINGER,200.19,12.07,18.88,0.64,-38.56,53.28,13
2881.TW,富邦金,RSI_STOCHASTIC,54.31,4.6,7.24,0.64,-12.51,58.71,10
2891.TW,中信金,RSI,108.23,7.9,12.25,0.64,-21.22,53.75,8
0050.TW,元大台灣50,RSI,110.39,8.01,12.47,0.64,-28.96,54.61,10
2884.TW,玉山金,MACD_MA_CROSS,25.53,2.38,3.76,0.63,-6.72,57.81,11
