股票代碼,股票名稱,策略,總報酬率 (%),年化報酬率 (%),波動率 (%),夏普比率,最大回撤 (%),勝率 (%),交易次數
2382.TW,廣達,STOCHASTIC,180.43,11.28,18.15,0.62,-32.39,55.39,29
0050.TW,元大台灣50,MACD_MA_CROSS,31.46,2.87,4.62,0.62,-7,55.67,16
2317.TW,鴻海,MACD,185.17,11.47,18.66,0.61,-25.35,50.91,91
2324.TW,仁寶,RSI,122.41,8.64,14.06,0.61,-28.4,53.88,9
0050.TW,元大台灣50,RSI_BOLLINGER,86.49,6.67,10.96,0.61,-17.14,55.3,11
2886.TW,兆豐金,STOCHASTIC,66.08,5.4,9.14,0.59,-23.73,51.71,29
2379.TW,瑞昱,RSI_STOCHASTIC,79.14,6.23,10.78,0.58,-20.32,50,6
2886.TW,兆豐金,RSI,66.85,5.45,9.51,0.57,-13.68,50.39,8
2886.TW,兆豐金,BOLLINGER,69.87,5.65,10.07,0.56,-17.93,52.54,23
3034.TW,聯詠,MACD_MA,164.38,10.6,18.78,0.56,-20.42,52.35,64
2379.TW,瑞昱,MACD_MA,159.03,10.37,18.48,0.56,-20.28,51.41,66
2330.TW,台積電,RSI,120.45,8.54,15.63,0.55,-37.47,52.45,8
2884.TW,玉山金,MACD_STOCHASTIC,15.73,1.53,2.8,0.55,-5.1,55.77,1
2412.TW,中華電,BOLLINGER,39.61,3.52,6.55,0.54,-11.11,52.84,24
2884.TW,玉山金,RSI_BOLLINGER,65.53,5.36,9.87,0.54,-26.83,52.16,12
1216.TW,統一,STOCHASTIC,59.73,4.97,9.27,0.54,-13.39,51.47,24
2382.TW,廣達,RSI_STOCHASTIC,66.69,5.44,10.01,0.54,-19.67,54.93,11
2330.TW,台積電,BOLLINGER,134.38,9.23,17.64,0.52,-25.25,53.14,22
2330.TW,台積電,RSI_BOLLINGER,92.78,7.04,13.55,0.52,-17.74,51.81,10
3034.TW,聯詠,MA_CROSS,225.06,13,25.31,0.51,-43.67,51.75,70
2886.TW,兆豐金,MA_CROSS,73.76,5.89,11.82,0.5,-18.7,52.97,72
3034.TW,聯詠,MA_BOLLINGER,33.9,3.07,6.18,0.5,-8.12,56.34,79
2382.TW,廣達,RSI_BOLLINGER,92.04,7,14.42,0.49,-33.89,55.5,10
2881.TW,富邦金,BOLLINGER,88.37,6.78,14,0.48,-30.57,55.68,25
2882.TW,國泰金,MACD,90.52,6.91,14.64,0.47,-24.87,51.37,95
2884.TW,玉山金,STOCHASTIC,62.35,5.15,10.95,0.47,-24.53,51.96,22
3034.TW,聯詠,MACD,173.03,10.97,23.46,0.47,-30.92,51.68,92
0050.TW,元大台灣50,RSI_STOCHASTIC,43.9,3.84,8.35,0.46,-16.38,54.26,8
2454.TW,聯發科,BOLLINGER,163.53,10.57,23.71,0.45,-34.94,51.84,25
2892.TW,第一金,STOCHASTIC,48.93,4.22,9.59,0.44,-26.75,55.23,27
2379.TW,瑞昱,BOLLINGER,146.11,9.79,22.46,0.44,-49.61,52.97,26
2886.TW,兆豐金,MACD_MA,38.95,3.47,8.16,0.43,-12.82,52.13,85
1216.TW,統一,RSI_BOLLINGER,39.39,3.5,8.11,0.43,-14.68,52.23,8
3008.TW,大立光,MA_BOLLINGER,52.15,4.45,10.29,0.43,-24.17,56.73,96
2324.TW,仁寶,MA_CROSS,101.76,7.55,17.93,0.42,-30.85,52.1,76
0050.TW,元大台灣50,MACD_STOCHASTIC,13.86,1.35,3.22,0.42,-6.71,59.46,2
2881.TW,富邦金,STOCHASTIC,59.72,4.97,12.19,0.41,-25.02,55.17,26
3008.TW,大立光,MACD,176.42,11.12,27.04,0.41,-35.82,49,81
2891.TW,中信金,RSI_BOLLINGER,45.1,3.93,9.78,0.4,-21.22,56.16,9
2454.TW,聯發科,MACD,142.32,9.61,24.86,0.39,-42.39,48.69,101
2454.TW,聯發科,MACD_MA,112.96,8.15,20.69,0.39,-31.38,48.33,74
2379.TW,瑞昱,STOCHASTIC,110.26,8.01,20.59,0.39,-49.94,52.4,30
2002.TW,中鋼,RSI,65.89,5.39,14.02,0.38,-23.14,50.67,12
2379.TW,瑞昱,RSI_BOLLINGER,61.71,5.11,13.3,0.38,-25.97,51.7,7
2002.TW,中鋼,MACD_MA_CROSS,26.56,2.47,6.72,0.37,-10.93,49.55,13
2881.TW,富邦金,RSI,54.57,4.62,12.57,0.37,-30.67,54.69,9
2891.TW,中信金,MACD_MA,42.09,3.71,10.01,0.37,-14.74,53.29,82
1216.TW,統一,RSI,51.39,4.39,12.03,0.37,-18.98,52.19,6
2881.TW,富邦金,MACD_MA,48.93,4.22,11.8,0.36,-38.64,52.33,71
3008.TW,大立光,RSI,148.92,9.91,27.93,0.35,-49.87,49.29,12
3008.TW,大立光,RSI_BOLLINGER,105.89,7.77,22.47,0.35,-41.63,51.21,15
2382.TW,廣達,MACD_STOCHASTIC,12.04,1.19,3.4,0.35,-4.62,53.95,3
1301.TW,台塑,BOLLINGER,71.81,5.77,17.18,0.34,-52.06,51.32,28
2379.TW,瑞昱,MA_BOLLINGER,29.72,2.73,8.16,0.34,-20.83,66.18,72
2884.TW,玉山金,BOLLINGER,46.71,4.05,12.22,0.33,-32.38,51.87,21
2324.TW,仁寶,MACD,66.85,5.45,16.61,0.33,-25.58,51.42,98
2412.TW,中華電,MA_BOLLINGER,6.87,0.69,2.17,0.32,-5.94,60,48
2324.TW,仁寶,MACD_MA,54.23,4.59,14.5,0.32,-23.2,51.84,71
1303.TW,南亞,MACD,69.96,5.65,18.03,0.31,-42.34,49.56,95
2882.TW,國泰金,RSI,55.16,4.66,15.14,0.31,-39.97,51.73,8
2882.TW,國泰金,STOCHASTIC,47.05,4.08,13.03,0.31,-26.19,51.74,31
2891.TW,中信金,RSI_STOCHASTIC,21.22,2.02,6.54,0.31,-17.81,60.61,5
2324.TW,仁寶,RSI_STOCHASTIC,29.22,2.69,8.59,0.31,-19.02,52.44,8
2892.TW,第一金,RSI_BOLLINGER,26.12,2.43,8.02,0.3,-23.84,50.3,6
3008.TW,大立光,MACD_MA,73.71,5.89,19.64,0.3,-42.06,48.87,55
2002.TW,中鋼,RSI_STOCHASTIC,30.44,2.79,9.48,0.29,-21.21,50.64,14
2882.TW,國泰金,RSI_STOCHASTIC,27.33,2.54,8.88,0.29,-22.22,58.99,9
0050.TW,元大台灣50,MA_BOLLINGER,16.18,1.57,5.4,0.29,-12.52,53.03,68
2324.TW,仁寶,BOLLINGER,46.32,4.02,14.74,0.27,-31,53.89,23
0050.TW,元大台灣50,STOCHASTIC,36.3,3.26,12.15,0.27,-27.35,54.71,26
2891.TW,中信金,MA_BOLLINGER,14.44,1.41,5.35,0.26,-11.76,54.9,55
2379.TW,瑞昱,RSI,52.54,4.47,17.46,0.26,-50.44,50.47,5
2884.TW,玉山金,RSI_MACD,5.19,0.53,2.08,0.25,-2.62,51.52,1
2884.TW,玉山金,RSI_MACD_MA,5.19,0.53,2.08,0.25,-2.62,51.52,1
2882.TW,國泰金,MA_BOLLINGER,12.62,1.24,5.19,0.24,-14.78,59.42,75
2324.TW,仁寶,RSI_BOLLINGER,31.35,2.87,11.77,0.24,-28.4,55.04,9
1303.TW,南亞,RSI_STOCHASTIC,28.94,2.67,11.61,0.23,-23.39,50.73,14
2892.TW,第一金,MACD_MA_CROSS,6.45,0.65,2.81,0.23,-5.73,59.52,8
1216.TW,統一,RSI_STOCHASTIC,9.35,0.93,4.06,0.23,-8.38,52.67,2
3008.TW,大立光,RSI_STOCHASTIC,45.6,3.97,17.09,0.23,-41.63,50,8
2379.TW,瑞昱,MACD_MA_CROSS,20.76,1.97,8.71,0.23,-20.14,52.63,11
2412.TW,中華電,MA_CROSS,18.64,1.79,8.14,0.22,-14.2,53.58,83
1303.TW,南亞,STOCHASTIC,44.08,3.86,17.38,0.22,-48.51,51.31,31
2317.TW,鴻海,RSI,42.77,3.76,18.32,0.21,-50.99,51.25,9
2454.TW,聯發科,STOCHASTIC,53.5,4.54,22.65,0.2,-43.4,51.24,26
1303.TW,南亞,MA_CROSS,42.55,3.74,18.46,0.2,-44.7,49.87,81
2412.TW,中華電,STOCHASTIC,11.53,1.14,6.08,0.19,-12.3,51.88,19
3034.TW,聯詠,MACD_MA_CROSS,12.76,1.25,6.6,0.19,-11.79,57.39,10
2382.TW,廣達,BOLLINGER,43.1,3.78,19.43,0.19,-48.49,53.61,22
1303.TW,南亞,MACD_MA,23.26,2.19,11.99,0.18,-25.64,50.38,67
2892.TW,第一金,MACD_MA,13.23,1.3,7.25,0.18,-12.49,53.95,87
2412.TW,中華電,MACD_STOCHASTIC,2.76,0.28,1.65,0.17,-4.31,55.56,2
2882.TW,國泰金,MACD_MA,21.47,2.04,11.68,0.17,-33.07,49.78,72
2891.TW,中信金,MACD_MA_CROSS,9.21,0.92,5.29,0.17,-8.71,50.65,17
3034.TW,聯詠,BOLLINGER,41.21,3.64,22.31,0.16,-49.48,52.47,23
2324.TW,仁寶,STOCHASTIC,27.19,2.52,15.86,0.16,-36.82,51.25,24
2330.TW,台積電,STOCHASTIC,26.58,2.47,17.05,0.15,-44.73,51.01,28
2002.TW,中鋼,MACD,25.53,2.38,15.49,0.15,-46.62,49.19,105
3008.TW,大立光,BOLLINGER,51.03,4.37,28.92,0.15,-62.92,49.91,27
2886.TW,兆豐金,MACD_MA_CROSS,4.29,0.44,3.13,0.14,-7.53,50.77,14
2330.TW,台積電,RSI_STOCHASTIC,10.47,1.04,7.69,0.13,-21.81,50.94,5
2002.TW,中鋼,RSI_BOLLINGER,14.35,1.4,10.67,0.13,-31.4,48.8,13
3034.TW,聯詠,RSI,27.97,2.59,19.63,0.13,-46.43,50.99,7
3034.TW,聯詠,RSI_STOCHASTIC,12.5,1.23,9.13,0.13,-20.82,51.76,5
2382.TW,廣達,MA_BOLLINGER,8.38,0.84,6.63,0.13,-10.1,48.48,70
1301.TW,台塑,MA_BOLLINGER,8.19,0.82,6.98,0.12,-31.33,58.76,88
2330.TW,台積電,MA_BOLLINGER,6.58,0.66,6.19,0.11,-18.4,51.79,60
3008.TW,大立光,MACD_MA_CROSS,6.93,0.7,6.3,0.11,-16.29,46.67,9
2886.TW,兆豐金,RSI_BOLLINGER,7.77,0.78,7.66,0.1,-14.9,48.64,7
2882.TW,國泰金,MACD_STOCHASTIC,1.45,0.15,1.6,0.09,-4,53.57,1
2886.TW,兆豐金,MA_BOLLINGER,3.99,0.41,4.39,0.09,-17.65,51.92,59
2002.TW,中鋼,MACD_MA,9.75,0.97,12.36,0.08,-42.76,49.22,66
2884.TW,玉山金,MA_BOLLINGER,4.46,0.45,5.88,0.08,-16.28,48.39,63
2881.TW,富邦金,MA_BOLLINGER,4.18,0.43,6.29,0.07,-21.9,54.29,71
3008.TW,大立光,MA_CROSS,19.08,1.83,25.39,0.07,-50.57,48.16,76
2382.TW,廣達,RSI_MACD,2.08,0.21,2.92,0.07,-6.26,50,1
2382.TW,廣達,RSI_MACD_MA,2.08,0.21,2.92,0.07,-6.26,50,1
2412.TW,中華電,MACD_MA,3.95,0.4,6.57,0.06,-16.92,52.47,95
1303.TW,南亞,RSI_BOLLINGER,7.49,0.75,13.3,0.06,-34.32,48.99,12
2881.TW,富邦金,MACD_STOCHASTIC,0.78,0.08,1.44,0.06,-4.67,51.61,1
2882.TW,國泰金,BOLLINGER,8.24,0.82,14.69,0.06,-43.38,50.87,21
1216.TW,統一,MACD,7.35,0.74,12.17,0.06,-34.05,50.22,107
2454.TW,聯發科,MACD_STOCHASTIC,1.99,0.2,3.79,0.05,-6.91,50,1
2881.TW,富邦金,RSI_BOLLINGER,5.56,0.56,10.69,0.05,-31.75,52.21,9
2886.TW,兆豐金,RSI_STOCHASTIC,2.88,0.29,6.04,0.05,-12.74,50.6,7
2892.TW,第一金,RSI_STOCHASTIC,2.73,0.28,5.76,0.05,-20.87,57.45,3
3034.TW,聯詠,MACD_STOCHASTIC,2.46,0.25,4.86,0.05,-8.3,53.03,4
2317.TW,鴻海,RSI_STOCHASTIC,5.3,0.54,12.03,0.04,-27.32,49.45,10
2412.TW,中華電,RSI,1.57,0.16,4.1,0.04,-13.08,51.79,3
1303.TW,南亞,BOLLINGER,5.66,0.57,17.53,0.03,-45.75,50.93,24
2412.TW,中華電,MACD,1.31,0.13,7.36,0.02,-19.24,52.23,111
2317.TW,鴻海,BOLLINGER,1.34,0.14,19.97,0.01,-48.9,51.26,22
2002.TW,中鋼,BOLLINGER,1.04,0.11,15.84,0.01,-43.3,47.87,24
1216.TW,統一,MACD_MA_CROSS,0.71,0.07,5.42,0.01,-15.58,53.28,22
2330.TW,台積電,RSI_MACD,0,0,0,0,0,0,0
2330.TW,台積電,MACD_STOCHASTIC,0,0,0,0,0,0,0
2330.TW,台積電,RSI_MACD_MA,0,0,0,0,0,0,0
2454.TW,聯發科,RSI_MACD,0,0,0,0,0,0,0
2454.TW,聯發科,RSI_MACD_MA,0,0,0,0,0,0,0
1301.TW,台塑,RSI_MACD,0,0,0,0,0,0,0
1301.TW,台塑,RSI_MACD_MA,0,0,0,0,0,0,0
1303.TW,南亞,RSI_MACD,0,0,0,0,0,0,0
1303.TW,南亞,RSI_MACD_MA,0,0,0,0,0,0,0
2881.TW,富邦金,RSI_MACD,0,0,0,0,0,0,0
2881.TW,富邦金,RSI_MACD_MA,0,0,0,0,0,0,0
2881.TW,富邦金,MACD_MA_CROSS,-0.11,-0.01,4.61,0,-13.64,47.52,16
2882.TW,國泰金,RSI_MACD,0,0,0,0,0,0,0
2882.TW,國泰金,RSI_BOLLINGER,-0.29,-0.03,11.16,0,-40.27,52,11
2882.TW,國泰金,RSI_MACD_MA,0,0,0,0,0,0,0
2882.TW,國泰金,MACD_MA_CROSS,-0.16,-0.02,4.32,0,-10.13,50,13
2886.TW,兆豐金,RSI_MACD,0,0,0,0,0,0,0
2886.TW,兆豐金,RSI_MACD_MA,0,0,0,0,0,0,0
2892.TW,第一金,RSI_MACD,0,0,0,0,0,0,0
2892.TW,第一金,MACD_STOCHASTIC,0,0,0,0,0,0,0
2892.TW,第一金,RSI_MACD_MA,0,0,0,0,0,0,0
2891.TW,中信金,RSI_MACD,0,0,0,0,0,0,0
2891.TW,中信金,MACD_STOCHASTIC,0,0,0,0,0,0,0
2891.TW,中信金,RSI_MACD_MA,0,0,0,0,0,0,0
1216.TW,統一,RSI_MACD,0,0,0,0,0,0,0
1216.TW,統一,RSI_MACD_MA,0,0,0,0,0,0,0
1326.TW,台化,RSI_MACD,0,0,1.84,0,-5.25,41.67,1
1326.TW,台化,RSI_MACD_MA,0,0,1.84,0,-5.25,41.67,1
3008.TW,大立光,RSI_MACD,0,0,0,0,0,0,0
3008.TW,大立光,RSI_MACD_MA,0,0,0,0,0,0,0
3034.TW,聯詠,RSI_MACD,0,0,0,0,0,0,0
3034.TW,聯詠,RSI_MACD_MA,0,0,0,0,0,0,0
2379.TW,瑞昱,RSI_MACD,0,0,0,0,0,0,0
2379.TW,瑞昱,MACD_STOCHASTIC,0,0,0,0,0,0,0
2379.TW,瑞昱,RSI_MACD_MA,0,0,0,0,0,0,0
2324.TW,仁寶,RSI_MACD,0,0,0,0,0,0,0
2324.TW,仁寶,MACD_STOCHASTIC,0,0,0,0,0,0,0
2324.TW,仁寶,RSI_MACD_MA,0,0,0,0,0,0,0
0050.TW,元大台灣50,RSI_MACD,0,0,0,0,0,0,0
0050.TW,元大台灣50,RSI_MACD_MA,0,0,0,0,0,0,0
2002.TW,中鋼,MACD_STOCHASTIC,-0.4,-0.04,3.39,-0.01,-8.9,47.46,4
2317.TW,鴻海,MACD_MA_CROSS,-0.83,-0.09,5.31,-0.02,-16.32,48.81,10
2892.TW,第一金,MA_BOLLINGER,-1.02,-0.11,6.01,-0.02,-15.79,62.5,59
2884.TW,玉山金,RSI_STOCHASTIC,-1.34,-0.14,7.57,-0.02,-25.41,45,5
1301.TW,台塑,RSI_BOLLINGER,-3.61,-0.38,11.32,-0.03,-38.07,48.34,10
2324.TW,仁寶,MA_BOLLINGER,-1.8,-0.19,6.7,-0.03,-15.43,51.52,69
2317.TW,鴻海,RSI_BOLLINGER,-4.97,-0.53,14.83,-0.04,-41.37,51.37,12
3034.TW,聯詠,RSI_BOLLINGER,-7.25,-0.78,15.46,-0.05,-46.43,51.59,8
2002.TW,中鋼,MA_CROSS,-8.6,-0.93,16.41,-0.06,-58.9,48.65,85
2317.TW,鴻海,STOCHASTIC,-14.99,-1.67,20.29,-0.08,-43.6,49.71,28
2412.TW,中華電,RSI_STOCHASTIC,-2.84,-0.3,3.85,-0.08,-13.08,49.73,3
1326.TW,台化,MA_BOLLINGER,-5.15,-0.55,6.69,-0.08,-30.15,40.21,94
2002.TW,中鋼,MA_BOLLINGER,-5.43,-0.58,6.56,-0.09,-20.01,48.1,86
1326.TW,台化,STOCHASTIC,-16.59,-1.86,17.9,-0.1,-52.54,46.99,31
2002.TW,中鋼,STOCHASTIC,-14.64,-1.63,14.25,-0.11,-37.9,48.39,29
1216.TW,統一,MA_CROSS,-12.68,-1.4,12.82,-0.11,-35.58,50.61,85
1216.TW,統一,MACD_MA,-9.42,-1.02,9.56,-0.11,-35.87,50.35,79
2454.TW,聯發科,MA_BOLLINGER,-10.11,-1.1,8.6,-0.13,-24.42,53.03,67
1301.TW,台塑,STOCHASTIC,-18.48,-2.1,16.42,-0.13,-57.88,49.07,27
1303.TW,南亞,MACD_STOCHASTIC,-7.83,-0.84,6.3,-0.13,-19.31,41.79,3
2412.TW,中華電,RSI_MACD,-1.48,-0.15,1.12,-0.14,-4.31,53.85,1
2412.TW,中華電,RSI_MACD_MA,-1.48,-0.15,1.12,-0.14,-4.31,53.85,1
1326.TW,台化,BOLLINGER,-24.83,-2.92,19.07,-0.15,-59.72,47.4,20
3008.TW,大立光,STOCHASTIC,-36.84,-4.65,28.68,-0.16,-66.57,48.48,30
2317.TW,鴻海,MA_BOLLINGER,-12.42,-1.37,7.56,-0.18,-28.49,44.29,79
2412.TW,中華電,MACD_MA_CROSS,-5.74,-0.61,3.31,-0.18,-10.84,50,19
1326.TW,台化,MACD_STOCHASTIC,-4.86,-0.52,2.92,-0.18,-9.85,37.78,3
3034.TW,聯詠,STOCHASTIC,-34.88,-4.35,20.75,-0.21,-55.62,50.96,21
1216.TW,統一,MACD_STOCHASTIC,-4.51,-0.48,2.18,-0.22,-6.41,44.44,3
2412.TW,中華電,RSI_BOLLINGER,-7.01,-0.75,3.19,-0.23,-14.05,45.87,3
1301.TW,台塑,RSI_STOCHASTIC,-22.62,-2.62,11.55,-0.23,-40.98,47.26,10
1301.TW,台塑,MACD_MA,-25.44,-3,12.76,-0.23,-36.05,48.4,83
2324.TW,仁寶,MACD_MA_CROSS,-11.79,-1.29,5.51,-0.23,-16.78,49.45,14
2317.TW,鴻海,MACD_STOCHASTIC,-9.28,-1,3.9,-0.26,-13.59,38.6,3
2454.TW,聯發科,MACD_MA_CROSS,-11.4,-1.25,4.58,-0.27,-16.67,44.64,7
3008.TW,大立光,MACD_STOCHASTIC,-15.35,-1.71,6.1,-0.28,-19.62,36,1
1301.TW,台塑,MA_CROSS,-39.01,-5,15.97,-0.31,-52.58,49.38,80
1301.TW,台塑,MACD_MA_CROSS,-11.04,-1.2,3.78,-0.32,-15.24,42.86,14
2317.TW,鴻海,RSI_MACD,-9.77,-1.06,3.2,-0.33,-9.77,27.59,2
2317.TW,鴻海,RSI_MACD_MA,-9.77,-1.06,3.2,-0.33,-9.77,27.59,2
1326.TW,台化,RSI_BOLLINGER,-42.39,-5.56,16.65,-0.33,-56.3,46.89,10
1326.TW,台化,RSI_STOCHASTIC,-30.4,-3.69,10.97,-0.34,-39.28,42.86,8
1301.TW,台塑,MACD,-43.12,-5.68,15.95,-0.36,-51.2,48.11,111
2382.TW,廣達,MACD_MA_CROSS,-19.16,-2.18,6.12,-0.36,-23.7,37.38,15
1326.TW,台化,MACD_MA_CROSS,-16.2,-1.82,4.95,-0.37,-16.32,37.5,7
1301.TW,台塑,RSI,-49.52,-6.84,16.98,-0.4,-67.35,47.59,5
1303.TW,南亞,RSI,-54.68,-7.88,18.47,-0.43,-68.43,47.87,5
2886.TW,兆豐金,MACD_STOCHASTIC,-1.04,-0.11,0.25,-0.43,-1.04,0,1
1326.TW,台化,MACD_MA,-39.09,-5.01,11.31,-0.44,-47.31,48.2,73
1326.TW,台化,MA_CROSS,-52.31,-7.39,16.2,-0.46,-64.83,46.77,83
1303.TW,南亞,MACD_MA_CROSS,-17.81,-2.01,3.99,-0.5,-22.56,48.03,16
2002.TW,中鋼,RSI_MACD,-3.75,-0.4,0.77,-0.51,-3.75,0,1
2002.TW,中鋼,RSI_MACD_MA,-3.75,-0.4,0.77,-0.51,-3.75,0,1
1326.TW,台化,RSI,-65.22,-10.37,17.87,-0.58,-73.07,45.49,4
1326.TW,台化,MACD,-62.69,-9.71,16.16,-0.6,-67.26,45.74,107
1301.TW,台塑,MACD_STOCHASTIC,-14.41,-1.6,2.44,-0.66,-14.41,16.67,2
1303.TW,南亞,MA_BOLLINGER,-40.65,-5.26,7.74,-0.68,-44.66,44.71,91
