股票代碼,股票名稱,strategy,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,win_rate,total_trades
2317.TW,鴻海,RSI,43.14965496306431,3.788535962285833,18.741197123587312,0.20215015814105355,-50.9911516748417,50.98920863309353,9
2317.TW,鴻海,MACD,182.13116682915458,11.351027288027748,18.661894231138685,0.608246255575051,-25.354477613062997,50.86916742909423,91
2317.TW,鴻海,MA_CROSS,305.8695754488813,15.62878972943067,19.62885822133407,0.7962149175057042,-27.446993122718453,52.170352170352174,65
2317.TW,鴻海,BOLLINGER,0.2555550077851798,0.026460807268779973,19.964505729150343,0.0013253925555564508,-48.90374283099654,51.209253417455315,22
2317.TW,鴻海,STOCHASTIC,-15.10890323006615,-1.6836435233380298,20.287290817711508,-0.08299006202780662,-43.601571088273325,49.71153846153846,28
2317.TW,鴻海,RSI_MACD,-9.772965510915888,-1.0603991534332113,3.2031750660258727,-0.33104626864769876,-9.772965510915888,27.586206896551722,2
2317.TW,鴻海,RSI_STOCHASTIC,5.301576003871777,0.5369306303594223,12.030019395770537,0.04463256564226273,-27.315772874500865,49.45454545454545,10
2317.TW,鴻海,MACD_MA,197.68372330303583,11.972132019196223,15.234366415621187,0.7858634676739891,-18.490601838711136,52.2342064714946,62
2317.TW,鴻海,RSI_BOLLINGER,-4.966289718314288,-0.526642291657764,14.831833225435428,-0.035507565629487654,-41.37304448562873,51.368421052631575,12
2317.TW,鴻海,MACD_STOCHASTIC,-9.284193364644356,-1.004974441300932,3.897922009589562,-0.25782312699651794,-13.590611029652115,38.59649122807017,3
2317.TW,鴻海,MA_BOLLINGER,-12.420971061938124,-1.3654342636398864,7.5616959763442795,-0.1805724890172071,-28.49227856488634,44.285714285714285,79
2317.TW,鴻海,RSI_MACD_MA,-9.772965510915888,-1.0603991534332113,3.2031750660258727,-0.33104626864769876,-9.772965510915888,27.586206896551722,2
2317.TW,鴻海,MACD_MA_CROSS,-0.8316646758519397,-0.08653426104549,5.307178686215734,-0.016305134264697794,-16.32134686835224,48.80952380952381,10
