策略,平均總報酬率 (%),平均夏普比率,平均最大回撤 (%),平均勝率 (%)
RSI,44.63,0.87,-14.92,46.74
MACD,24.03,0.69,-18.16,53.92
MA_CROSS,35.51,0.78,-17.17,53.31
BOLLINGER,25.05,0.75,-24.77,54.89
STOCHASTIC,7.29,0.22,-23.29,54.44
