股票代碼,股票名稱,strategy,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,win_rate,total_trades
2454.TW,聯發科,RSI,172.5366748765028,68.3609698478969,28.139653698893458,2.4293465221494563,-11.952190024815087,54.973821989528794,4
2454.TW,聯發科,MACD,1.5255132867662669,0.7897549678971494,24.313455320852405,0.03248221848664254,-34.474492874125126,46.875,19
2454.TW,聯發科,MA_CROSS,-3.8460499022706984,-2.017180672105978,25.867019818772462,-0.07798272418850703,-22.247624310530135,47.03196347031963,16
2454.TW,聯發科,BOLLINGER,40.705640427123235,19.415533813918916,30.82728326224895,0.6298165702358584,-22.578124744045166,49.54128440366973,5
2454.TW,聯發科,STOCHASTIC,46.035831511222725,21.744986020514133,26.18006187702574,0.8305933776113953,-24.541497369082148,53.40909090909091,6
