策略,平均總報酬率 (%),平均夏普比率,平均最大回撤 (%),平均勝率 (%)
RSI,75.95,0.34,-37.30,51.71
MACD,155.10,0.51,-30.02,51.42
MA_CROSS,187.37,0.53,-32.87,51.61
BOLLINGER,69.38,0.35,-37.30,52.43
STOCHASTIC,38.56,0.23,-36.54,51.71
RSI_MACD,-0.37,-0.03,-1.52,10.70
RSI_STOCHASTIC,23.93,0.22,-21.74,52.28
MACD_MA,80.54,0.37,-26.47,51.35
RSI_BOLLINGER,38.87,0.22,-30.42,51.40
MACD_STOCHASTIC,-0.31,-0.02,-6.56,33.13
MA_BOLLINGER,7.36,0.11,-18.99,53.65
RSI_MACD_MA,-0.37,-0.03,-1.52,10.70
MACD_MA_CROSS,4.96,0.05,-13.39,49.88
