股票代碼,股票名稱,strategy,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,win_rate,total_trades
2412.TW,中華電,RSI,0.0,0.0,0.0,0,0.0,0,0
2412.TW,中華電,MACD,4.179702661660856,2.15035630748468,6.473127730204747,0.33219741632020344,-6.866294316154277,55.90062111801242,19
2412.TW,中華電,MA_CROSS,1.2747526214677007,0.6603302245467679,8.031859205792118,0.08221386949494526,-6.8198834162254665,54.40414507772021,16
2412.TW,中華電,BOLLINGER,16.795076980402524,8.400916844288497,5.449310656118906,1.541647627458218,-3.3582089552239047,55.96330275229357,6
2412.TW,中華電,STOCHASTIC,3.4007600233330937,1.7527958044617264,4.1175316247128615,0.425690914901949,-3.3582089552238537,53.65853658536586,2
2412.TW,中華電,RSI_MACD,0.0,0.0,0.0,0,0.0,0,0
2412.TW,中華電,RSI_STOCHASTIC,0.0,0.0,0.0,0,0.0,0,0
2412.TW,中華電,MACD_MA,2.9958424041419685,1.545563615871104,6.300460141014624,0.24530964108634243,-6.147115121684423,55.92105263157895,19
2412.TW,中華電,RSI_BOLLINGER,0.0,0.0,0.0,0,0.0,0,0
2412.TW,中華電,MACD_STOCHASTIC,1.1494252873563093,0.59558750779245,1.4879344342422305,0.4002780593593618,-1.1363636363636351,55.55555555555556,0
2412.TW,中華電,MA_BOLLINGER,0.0,0.0,0.0,0,0.0,0,0
2412.TW,中華電,RSI_MACD_MA,0.0,0.0,0.0,0,0.0,0,0
2412.TW,中華電,MACD_MA_CROSS,4.329872487825015,2.226836321866177,3.9281165237021214,0.5668967069661814,-3.2608695652173822,60.416666666666664,5
