策略,平均總報酬率 (%),平均夏普比率,平均最大回撤 (%),平均勝率 (%)
RSI,48.43,0.85,-16.27,44.73
MACD,18.44,0.57,-16.70,53.26
MA_CROSS,28.70,0.64,-16.99,52.61
STOCHASTIC,7.95,0.25,-23.19,55.08
