股票代碼,股票名稱,strategy,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,win_rate,total_trades
2882.TW,國泰金,RSI,55.16219285271509,4.6591170777433355,15.491848818319411,0.3007463558664373,-39.97109468443909,51.31467345207803,8
2882.TW,國泰金,MACD,87.28356692144914,6.720438426045017,14.629863016223577,0.4593644122704692,-24.871869786668015,51.326623970722785,95
2882.TW,國泰金,MA_CROSS,166.72771695470473,10.704855490858755,16.021179844291645,0.6681689859859418,-32.91960268794391,51.36612021857923,82
2882.TW,國泰金,BOLLINGER,8.244948128960683,0.8246519692112653,14.685524023613464,0.05615407171615212,-43.38383018888713,50.870406189555126,21
2882.TW,國泰金,STOCHASTIC,55.677648379971714,4.695104622768076,13.157332758094126,0.3568431922404442,-26.19465022226824,51.866666666666674,31
