股票代碼,股票名稱,策略,總報酬率 (%),年化報酬率 (%),波動率 (%),夏普比率,最大回撤 (%),勝率 (%),交易次數
2881.TW,富邦金,MACD_STOCHASTIC,0.78,0.08,1.44,0.06,-4.67,51.61,1
2881.TW,富邦金,MA_BOLLINGER,4.18,0.43,6.29,0.07,-21.90,54.29,71
2881.TW,富邦金,RSI_MACD_MA,0.00,0.00,0.00,0.00,0.00,0.00,0
2881.TW,富邦金,MACD_MA_CROSS,-0.11,-0.01,4.61,-0.00,-13.64,47.52,16
2882.TW,國泰金,RSI,55.16,4.66,15.49,0.30,-39.97,51.31,8
2882.TW,國泰金,MACD,87.28,6.72,14.63,0.46,-24.87,51.33,95
2882.TW,國泰金,MA_CROSS,166.73,10.70,16.02,0.67,-32.92,51.37,82
2882.TW,國泰金,BOLLINGER,8.24,0.82,14.69,0.06,-43.38,50.87,21
2882.TW,國泰金,STOCHASTIC,42.87,3.77,13.43,0.28,-26.19,51.70,30
2882.TW,國泰金,RSI_MACD,0.00,0.00,0.00,0.00,0.00,0.00,0
2882.TW,國泰金,RSI_STOCHASTIC,26.90,2.50,10.09,0.25,-27.78,57.02,10
2882.TW,國泰金,MACD_MA,19.41,1.86,11.67,0.16,-33.07,49.71,72
2882.TW,國泰金,RSI_BOLLINGER,-0.29,-0.03,11.16,-0.00,-40.27,52.00,11
2882.TW,國泰金,MACD_STOCHASTIC,1.45,0.15,1.60,0.09,-4.00,53.57,1
2882.TW,國泰金,MA_BOLLINGER,12.62,1.24,5.19,0.24,-14.78,59.42,75
2882.TW,國泰金,RSI_MACD_MA,0.00,0.00,0.00,0.00,0.00,0.00,0
2882.TW,國泰金,MACD_MA_CROSS,-0.16,-0.02,4.32,-0.00,-10.13,50.00,13
