股票代碼,股票名稱,strategy,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,win_rate,total_trades
2379.TW,瑞昱,RSI,52.53906435362443,4.474301012116388,17.459729414083753,0.25626405232301186,-50.43797656443484,50.46554934823091,5
2379.TW,瑞昱,MACD,524.3104858410933,20.90717119148222,23.754786630522933,0.8801245625426178,-24.025336301854026,51.96245733788396,93
2379.TW,瑞昱,MA_CROSS,387.9650286927374,17.8580066991602,25.291820712965883,0.7060783366222927,-39.597859462299176,52.10084033613446,68
2379.TW,瑞昱,BOLLINGER,146.11073313344855,9.785504491526687,22.455198222390568,0.43577902963106985,-49.61315265341319,52.96803652968036,26
2379.TW,瑞昱,STOCHASTIC,110.26133959120963,8.008411639569779,20.585206171651294,0.38903723250527755,-49.93962277089379,52.40443896424167,30
2379.TW,瑞昱,RSI_MACD,0.0,0.0,0.0,0,0.0,0,0
2379.TW,瑞昱,RSI_STOCHASTIC,79.13921334717813,6.229713121411873,10.775710241496313,0.5781255232181165,-20.321808602759955,50.0,6
2379.TW,瑞昱,MACD_MA,159.03247433481263,10.369412226193987,18.480402390136483,0.5611031625441466,-20.278301878443564,51.40845070422535,66
2379.TW,瑞昱,RSI_BOLLINGER,61.71485356209514,5.1088377752694925,13.304644882263553,0.3839890369475471,-25.968988923837255,51.698113207547166,7
2379.TW,瑞昱,MACD_STOCHASTIC,0.0,0.0,0.0,0,0.0,0,0
2379.TW,瑞昱,MA_BOLLINGER,29.718236329658776,2.7339071454859587,8.159542040986377,0.33505644455941386,-20.833397417806463,66.17647058823529,72
2379.TW,瑞昱,RSI_MACD_MA,0.0,0.0,0.0,0,0.0,0,0
2379.TW,瑞昱,MACD_MA_CROSS,20.755920294896256,1.9742955045782384,8.70642730385964,0.226762991945389,-20.14273291712941,52.63157894736842,11
